Energy	Th_initial	
0.028255086	0.147196260	0.002943925200000
0.028261554	0.147179410	0.002943588200000
0.028268021	0.147162580	0.002943251600000
0.028274592	0.147145480	0.002942909600000
0.028281163	0.147128380	0.002942567600000
0.028287631	0.147111560	0.002942231200000
0.028294098	0.147094750	0.002941895000000
0.028300670	0.147077670	0.002941553400000
0.028307242	0.147060590	0.002941211800000
0.028313709	0.147043800	0.002940876000000
0.028320177	0.147027010	0.002940540200000
0.028326748	0.147009950	0.002940199000000
0.028333319	0.146992900	0.002939858000000
0.028339787	0.146976130	0.002939522600000
0.028346255	0.146959360	0.002939187200000
0.028352827	0.146942330	0.002938846600000
0.028359398	0.146925300	0.002938506000000
0.028365865	0.146908550	0.002938171000000
0.028372437	0.146891540	0.002937830800000
0.028379008	0.146874530	0.002937490600000
0.028385476	0.146857800	0.002937156000000
0.028392049	0.146840800	0.002936816000000
0.028398620	0.146823810	0.002936476200000
0.028405087	0.146807100	0.002936142000000
0.028411659	0.146790120	0.002935802400000
0.028418230	0.146773140	0.002935462800000
0.028424698	0.146756450	0.002935129000000
0.028431270	0.146739480	0.002934789600000
0.028437842	0.146722530	0.002934450600000
0.028444413	0.146705580	0.002934111600000
0.028450985	0.146688640	0.002933772800000
0.028457452	0.146671970	0.002933439400000
0.028464023	0.146655040	0.002933100800000
0.028470595	0.146638110	0.002932762200000
0.028477168	0.146621190	0.002932423800000
0.028483739	0.146604270	0.002932085400000
0.028490206	0.146587630	0.002931752600000
0.028496778	0.146570730	0.002931414600000
0.028503349	0.146553830	0.002931076600000
0.028509921	0.146536940	0.002930738800000
0.028516494	0.146520050	0.002930401000000
0.028523065	0.146503170	0.002930063400000
0.028529637	0.146486300	0.002929726000000
0.028536208	0.146469430	0.002929388600000
0.028542779	0.146452570	0.002929051400000
0.028549352	0.146435710	0.002928714200000
0.028555924	0.146418860	0.002928377200000
0.028562496	0.146402020	0.002928040400000
0.028569067	0.146385180	0.002927703600000
0.028575638	0.146368350	0.002927367000000
0.028582210	0.146351520	0.002927030400000
0.028588781	0.146334700	0.002926694000000
0.028595458	0.146317620	0.002926352400000
0.028602030	0.146300800	0.002926016000000
0.028608602	0.146284000	0.002925680000000
0.028615173	0.146267200	0.002925344000000
0.028621744	0.146250410	0.002925008200000
0.028628316	0.146233630	0.002924672600000
0.028634888	0.146216840	0.002924336800000
0.028641565	0.146199800	0.002923996000000
0.028648136	0.146183030	0.002923660600000
0.028654708	0.146166270	0.002923325400000
0.028661383	0.146149250	0.002922985000000
0.028667955	0.146132500	0.002922650000000
0.028674526	0.146115750	0.002922315000000
0.028681203	0.146098740	0.002921974800000
0.028687775	0.146082010	0.002921640200000
0.028694347	0.146065280	0.002921305600000
0.028701022	0.146048290	0.002920965800000
0.028707594	0.146031570	0.002920631400000
0.028714165	0.146014860	0.002920297200000
0.028720842	0.145997890	0.002919957800000
0.028727414	0.145981190	0.002919623800000
0.028733986	0.145964500	0.002919290000000
0.028740661	0.145947540	0.002918950800000
0.028747233	0.145930860	0.002918617200000
0.028753804	0.145914190	0.002918283800000
0.028760481	0.145897250	0.002917945000000
0.028767157	0.145880320	0.002917606400000
0.028773729	0.145863660	0.002917273200000
0.028780300	0.145847010	0.002916940200000
0.028786976	0.145830090	0.002916601800000
0.028793652	0.145813190	0.002916263800000
0.028800327	0.145796290	0.002915925800000
0.028806900	0.145779660	0.002915593200000
0.028813472	0.145763030	0.002915260600000
0.028820148	0.145746150	0.002914923000000
0.028826824	0.145729270	0.002914585400000
0.028833499	0.145712400	0.002914248000000
0.028840071	0.145695800	0.002913916000000
0.028846643	0.145679200	0.002913584000000
0.028853320	0.145662340	0.002913246800000
0.028859995	0.145645500	0.002912910000000
0.028866671	0.145628660	0.002912573200000
0.028873347	0.145611820	0.002912236400000
0.028880023	0.145594990	0.002911899800000
0.028886594	0.145578430	0.002911568600000
0.028893166	0.145561870	0.002911237400000
0.028899843	0.145545060	0.002910901200000
0.028906519	0.145528250	0.002910565000000
0.028913194	0.145511450	0.002910229000000
0.028919870	0.145494650	0.002909893000000
0.028926546	0.145477860	0.002909557200000
0.028933222	0.145461080	0.002909221600000
0.028939899	0.145444300	0.002908886000000
0.028946575	0.145427530	0.002908550600000
0.028953251	0.145410760	0.002908215200000
0.028959926	0.145394000	0.002907880000000
0.028966602	0.145377240	0.002907544800000
0.028973279	0.145360490	0.002907209800000
0.028979955	0.145343750	0.002906875000000
0.028986631	0.145327010	0.002906540200000
0.028993307	0.145310280	0.002906205600000
0.028999982	0.145293550	0.002905871000000
0.029006658	0.145276830	0.002905536600000
0.029013334	0.145260120	0.002905202400000
0.029020011	0.145243410	0.002904868200000
0.029026687	0.145226710	0.002904534200000
0.029033363	0.145210010	0.002904200200000
0.029040039	0.145193320	0.002903866400000
0.029046714	0.145176630	0.002903532600000
0.029053390	0.145159950	0.002903199000000
0.029060067	0.145143280	0.002902865600000
0.029066743	0.145126610	0.002902532200000
0.029073419	0.145109940	0.002902198800000
0.029080095	0.145093290	0.002901865800000
0.029086771	0.145076640	0.002901532800000
0.029093446	0.145059990	0.002901199800000
0.029100227	0.145043090	0.002900861800000
0.029107008	0.145026190	0.002900523800000
0.029113684	0.145009570	0.002900191400000
0.029120360	0.144992940	0.002899858800000
0.029127035	0.144976330	0.002899526600000
0.029133711	0.144959720	0.002899194400000
0.029140388	0.144943110	0.002898862200000
0.029147169	0.144926250	0.002898525000000
0.029153949	0.144909400	0.002898188000000
0.029160624	0.144892810	0.002897856200000
0.029167300	0.144876230	0.002897524600000
0.029173976	0.144859650	0.002897193000000
0.029180756	0.144842820	0.002896856400000
0.029187537	0.144826000	0.002896520000000
0.029194213	0.144809440	0.002896188800000
0.029200889	0.144792880	0.002895857600000
0.029207565	0.144776330	0.002895526600000
0.029214345	0.144759530	0.002895190600000
